error: May-06-2023 02:44:32: 	/sign/in - Error (500): testing
info: May-06-2023 02:45:06: 	Server started on port 3000
info: May-06-2023 02:45:06: 	Database connection established.
info: May-06-2023 02:45:38: 	Server started on port 3000
info: May-06-2023 02:45:39: 	Database connection established.
info: May-06-2023 02:46:49: 	Server started on port 3000
info: May-06-2023 02:46:49: 	Database connection established.
info: May-06-2023 02:48:03: 	Server started on port 3000
info: May-06-2023 02:48:03: 	Database connection established.
info: May-06-2023 02:48:06: 	Server started on port 3000
info: May-06-2023 02:48:06: 	Database connection established.
info: May-06-2023 02:48:36: 	Server started on port 3000
info: May-06-2023 02:48:36: 	Database connection established.
info: May-06-2023 02:50:51: 	Server started on port 3000
info: May-06-2023 02:50:52: 	Database connection established.
info: May-06-2023 02:51:28: 	Server started on port 3000
info: May-06-2023 02:51:29: 	Database connection established.
info: May-06-2023 02:52:50: 	Server started on port 3000
info: May-06-2023 02:52:50: 	Database connection established.
info: May-06-2023 02:54:01: 	Server started on port 3000
info: May-06-2023 02:54:01: 	Database connection established.
info: May-06-2023 02:57:19: 	Server started on port 3000
info: May-06-2023 02:57:19: 	Database connection established.
info: May-06-2023 02:57:23: 	User 1 logged in
info: May-06-2023 02:57:40: 	User 1 (admin) authenticated successfully
info: May-06-2023 02:57:40: 	Getting all the users (Admin)
info: May-06-2023 02:58:04: 	Server started on port 3000
info: May-06-2023 02:58:04: 	Database connection established.
info: May-06-2023 02:58:11: 	User 1 (admin) authenticated successfully
error: May-06-2023 02:58:11: 	delete/admin/users/:id - (User 1 deleting user 11) Error (500): etc
info: May-06-2023 03:03:38: 	Server started on port 3000
info: May-06-2023 03:03:38: 	Database connection established.
info: May-06-2023 03:06:16: 	Server started on port 3000
info: May-06-2023 03:06:17: 	Database connection established.
info: May-06-2023 03:08:46: 	Server started on port 3000
info: May-06-2023 03:08:46: 	Database connection established.
info: May-06-2023 03:12:24: 	Server started on port 3000
info: May-06-2023 03:12:24: 	Database connection established.
info: May-06-2023 03:12:45: 	Server started on port 3000
info: May-06-2023 03:12:45: 	Database connection established.
info: May-06-2023 03:13:10: 	Server started on port 3000
info: May-06-2023 03:13:10: 	Database connection established.
info: May-06-2023 05:01:21: 	Server started on port 3000
info: May-06-2023 05:01:21: 	Database connection established.
info: May-06-2023 05:03:12: 	Server started on port 3000
info: May-06-2023 05:03:12: 	Database connection established.
info: May-06-2023 05:06:49: 	Server started on port 3000
info: May-06-2023 05:06:49: 	Database connection established.
info: May-06-2023 05:07:28: 	Server started on port 3000
info: May-06-2023 05:07:28: 	Database connection established.
info: May-06-2023 05:08:11: 	Server started on port 3000
info: May-06-2023 05:08:11: 	Database connection established.
info: May-06-2023 05:10:39: 	Server started on port 3000
info: May-06-2023 05:10:39: 	Database connection established.
info: May-06-2023 05:11:44: 	Server started on port 3000
info: May-06-2023 05:11:44: 	Database connection established.
info: May-06-2023 05:12:08: 	Server started on port 3000
info: May-06-2023 05:12:08: 	Database connection established.
info: May-06-2023 05:12:53: 	Server started on port 3000
info: May-06-2023 05:12:53: 	Database connection established.
info: May-06-2023 05:13:51: 	Server started on port 3000
info: May-06-2023 05:13:51: 	Database connection established.
info: May-06-2023 05:17:46: 	Server started on port 3000
info: May-06-2023 05:17:46: 	Database connection established.
info: May-06-2023 05:19:49: 	Server started on port 3000
info: May-06-2023 05:19:50: 	Database connection established.
info: May-06-2023 05:25:05: 	Server started on port 3000
info: May-06-2023 05:25:05: 	Database connection established.
info: May-06-2023 05:27:01: 	Server started on port 3000
info: May-06-2023 05:27:01: 	Database connection established.
info: May-06-2023 05:31:48: 	Server started on port 3000
info: May-06-2023 05:31:49: 	Database connection established.
info: May-06-2023 05:33:10: 	Server started on port 3000
info: May-06-2023 05:33:10: 	Database connection established.
info: May-06-2023 05:38:43: 	Server started on port 3000
info: May-06-2023 05:38:43: 	Database connection established.
info: May-06-2023 05:40:08: 	Server started on port 3000
info: May-06-2023 05:40:08: 	Database connection established.
info: May-06-2023 05:40:37: 	Server started on port 3000
info: May-06-2023 05:40:37: 	Database connection established.
info: May-06-2023 05:43:17: 	Server started on port 3000
info: May-06-2023 05:43:17: 	Database connection established.
info: May-06-2023 05:46:46: 	Server started on port 3000
info: May-06-2023 05:46:47: 	Database connection established.
info: May-06-2023 05:50:37: 	Server started on port 3000
info: May-06-2023 05:50:38: 	Database connection established.
info: May-06-2023 05:50:41: 	Server started on port 3000
info: May-06-2023 05:50:41: 	Database connection established.
info: May-06-2023 05:50:46: 	Server started on port 3000
